0,Country,Region,Renovation work,Material,Thickness [cm],Lambda [mK/W],Uw [W/m2K],Power [kW],Solar collector area [m2],Capacity [l],Price [€/m2],Price [€],Price [€/kW],"Source Author, Title, Year",Source link,,,,,
1,Bulgaria,General,Wall insulation ,MW,8,0.038,,,,, 55.00 € ,, -   € ,"Daibau.bg. ??????, ????. 2025 ",https://www.daibau.bg/ceni/fasada,,,,,
1,Bulgaria,General,Wall insulation - additional,,,,,,,,,, -   € ,,,,,,,
1,Bulgaria,General,Roof insulation - Accessible,GW,30,0.03,,,,, 23.00 € ,, -   € ,"Daibau.bg. ???????? ?? ????????, ????. 2025",https://www.daibau.bg/ceni/izolatsiya_na_mansarda,,,,,
1,Bulgaria,General,Roof insulation - Makeover,,,,,,,,,, -   € ,,,,,,,
1,Bulgaria,General,Floor insulation,EPS,10,,,,,, 71.00 € ,, -   € ,,,,,,,
1,Bulgaria,General,Windows,,,,,,,, 116.58 € ,, -   € ,,,,,,,
1,Bulgaria,General,Air-water Heat Pump,,,,,12,,,," 7,669.22 € ", 639.10 € ,,,,,,,
1,Bulgaria,General,Condensing boiler,,,,,25,,,," 2,740.00 € ", 109.60 € ,,,,,,,
1,Bulgaria,General,PV,,,,,1,,,," 1,280.00 € "," 1,280.00 € ","?????? ????????. ????? ???? ?????? ?? ?????????, ?? ?? ?? ??????????? ???????? ??????? 2023",https://businessnovinite.bg/bg-biznes/kakva-suma-trjabva-da-podgotvim-za-da-si-instalirame-slanchevi-paneli.html,,,,,
1,Bulgaria,General,Solar thermal panels,,,,,,,,,, -   € ,,,,,,,
2,Croatia,General,Wall insulation,EPS,10,0.031,,,,, 34.60 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Wall insulation - additional,EPS,10,0.031,,,,, 8.78 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Wall insulation,MW,5,0.039,,,,, 31.94 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Wall insulation - additional,MW,5,0.039,,,,, 7.80 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Wall insulation,GW,10,0.044,,,,, 30.03 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Wall insulation - additional,GW,10,0.044,,,,, 5.89 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Roof insulation - Accessible,GW,10,0.044,,,,, 5.89 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Roof insulation - Makeover,GW,10,0.044,,,,, 182.24 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2024, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
2,Croatia,General,Floor insulation,EPS,10,0.031,,,,, 113.00 € ,, -   € ,Institut IGH. STANDARDNA KALKULACIJA RADOVA U VISOKOGRADNJI - NADOGRADNJA I. 2025, https://mpgi.gov.hr/UserDocsImages/dokumenti/Graditeljstvo/Bilten_N_I_9_24.pdf,,,,,
